stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_url
PI16,PI16,PI16-Av. Lo Errázuriz Esq. / Arrecife,-33.4943981214198,-70.7224189837124,
PI17,PI17,PI17-Av. Lo Errázuriz Esq. / Bello Horizonte,-33.4961471585059,-70.7209620119357,
PI18,PI18,PI18-Av. Lo Errázuriz Esq. / San Juan,-33.4974142143933,-70.7185668639835,
PI19,PI19,PI19-Av. Lo Errázuriz Esq. / Don Orione,-33.4984981895524,-70.7165529483489,
PI20,PI20,PI20-Av. Lo Errázuriz Esq. / San Marcos,-33.499858946424,-70.7139888002263,
PI21,PI21,PI21-Av. Lo Errázuriz Esq. / Av. P. Aguirre Cerda,-33.5008292920239,-70.7103920290803,
PI1321,PI1321,PI1321-Parada 3 / Colegio   Don Orione,-33.5035870026965,-70.7116057311686,
PI1323,PI1323,PI1323-Parada 3 / El Mirador,-33.5053475711511,-70.7134902078993,
PI24,PI24,PI24-El Mirador Esq. / Tongoy,-33.5052052620572,-70.7158520863091,
PI25,PI25,PI25-El Mirador Esq. / Don Orione,-33.5048791535138,-70.7178349591224,
PI1643,PI1643,PI1643-El Mirador Esq. / Pablo Suárez,-33.5044253268299,-70.7205499734479,
PI1642,PI1642,PI1642-El Mirador Esq. / Los Fundadores,-33.5038609762357,-70.7239829135843,
PI1641,PI1641,PI1641-El Mirador Esq. / Santa Teresita,-33.5032030566306,-70.7259010063383,
PI1635,PI1635,PI1635-El Mirador Esq. / Divino Maestro,-33.5022269597562,-70.7292770147936,
PI1640,PI1640,PI1640-El Mirador Esq. / Ganímedes,-33.5020829421874,-70.7318489674802,
PI695,PI695,PI695-Avenida Las Torres Esq. / Av. A. Vespucio,-33.5037398530912,-70.735283015074,
PI1242,PI1242,PI1242-Avenida Las Torres Esq. / Acapulco,-33.5060409358259,-70.7356525399587,
PI1243,PI1243,PI1243-Avenida Las Torres Esq. / La Primavera,-33.5082278526636,-70.7351670006504,
PI883,PI883,PI883-Avenida Las Torres Esq. / Acapulco,-33.5069538619176,-70.7348659869232,
PI884,PI884,PI884-Avenida Las Torres Esq. / Av. A. Vespucio,-33.5044568911443,-70.7349990423297,
PI1646,PI1646,PI1646-Avenida Las Torres Esq. / El Mirador,-33.5021418512568,-70.7339910503951,
PI1644,PI1644,PI1644-El Mirador Esq. / Comas Sola,-33.5021598888062,-70.7319890367798,
PI1636,PI1636,PI1636-El Mirador Esq. / Divino Maestro,-33.5023159532881,-70.7292909486802,
PI889,PI889,PI889-El Mirador Esq. / Santa Teresita,-33.5031700501955,-70.7261660172235,
PI890,PI890,PI890-El Mirador Esq. / Los Telares,-33.5041160701368,-70.7229880530949,
PI891,PI891,PI891-El Mirador Esq. / Pablo Suárez,-33.5044430962891,-70.7209840309236,
PI892,PI892,PI892-El Mirador Esq. / Don Orione,-33.5049031427892,-70.7181660160245,
PI26,PI26,PI26-Don Orione Esq. / Alcazar,-33.503342042296,-70.7175805757567,
PI27,PI27,PI27-Don Orione Esq. / Ongolmo,-33.5015672045503,-70.7171060063848,
PI28,PI28,PI28-Don Orione Esq. / Av. Lo Errázuriz,-33.4988308515695,-70.7163589841203,
PI29,PI29,PI29-Av. Lo Errázuriz Esq. / San Juan,-33.497627129766,-70.7180280403893,
PI30,PI30,PI30-Av. Lo Errázuriz Esq. / Arturo Prat,-33.4959691371847,-70.7211049806345,
PI31,PI31,PI31-Av. Lo Errázuriz Esq. / Divina Comedia,-33.4941010983474,-70.7223260255332,
PI32,PI32,PI32-Av. Lo Errázuriz Esq. / Avenida Cerrillos,-33.4918540844569,-70.7223119847562,
PI33,PI33,PI33-Av. Lo Errázuriz Esq. / Rosa E. Rodríguez,-33.4892261042124,-70.7234019764918,
PI1441,PI1441,PI1441-Av. Lo Errázuriz Esq. / América Indígena,-33.4875061005724,-70.724054975625,
PI34,PI34,PI34-Parada  / Parque   Lo Errázuriz,-33.4856580325701,-70.72455301766,
PI1419,PI1419,PI1419-Av. Lo Errázuriz Esq. / Arz. Errázuriz,-33.4811040802559,-70.7240489605861,
PI35,PI35,PI35-Av. Lo Errázuriz Esq. / Raúl Silva H.,-33.4783401354196,-70.7230516083836,
PI36,PI36,PI36-Av. Lo Errázuriz Esq. / Los Metales,-33.4771142173876,-70.7228055452826,
PI37,PI37,PI37-Av. Lo Errázuriz Esq. / Santa Corina,-33.4736511129197,-70.7220980134305,
PI38,PI38,PI38-Parada 1 / Liceo A70,-33.4722441348356,-70.7201510190208,
PI39,PI39,PI39-Avenida 5 De Abril Esq. / Quemchi,-33.4710991471083,-70.718363026903,
PI40,PI40,PI40-Avenida 5 De Abril Esq. / Yelcho,-33.4700161697923,-70.7165300353165,
PI41,PI41,PI41-Avenida 5 De Abril Esq. / Av. Aeropuerto,-33.468531304238,-70.7133370499791,
PI42,PI42,PI42-Avenida 5 De Abril Esq. / Av. Aeropuerto,-33.4675323272941,-70.7112019623526,
PI43,PI43,PI43-Avenida 5 De Abril Esq. / Pasaje Sevilla,-33.4663303012007,-70.7088849682388,
